Justificativa,Justificativa_processada,Classificacao
turno no lugar do emerson que esta de ferias (luciano),turno no lugar do emerson que esta de ferias (luciano),
PRÉ USO NÓS EQUIPAMENTOS DO FURO DE GUSA  -02 DO AF-01.,pre uso nos equipamentos do furo de gusa  -02 do af-01.,
TROCAR DO EIXO FLUTUANTE DO CARRO TROLLEY DA PONTE 31PR-01 D0 AF-01.,trocar do eixo flutuante do carro trolley da ponte 31pr-01 d0 af-01.,
TROCA DO REDUTOR DA PONTE 31PR-01 AF-01.,troca do redutor da ponte 31pr-01 af-01.,
TROCA DO CONJUNTO DE IÇAMENTO DO JIB CRANE-01 AF-01.,troca do conjunto de icamento do jib crane-01 af-01.,
PRÉ USO NÓS EQUIPAMENTOS DE FURO GUSA -01 .PREVENTIVA NOS EQUIPAMENTOS DO FURODE GUSA-03. AF-01.,pre uso nos equipamentos de furo gusa -01 .preventiva nos equipamentos do furode gusa-03. af-01.,
TROCA DO MOTOR DO DESLOCAMENTO DO C.J DE MARRETA -01.,troca do motor do deslocamento do c.j de marreta -01.,
ACOMPANHAMENTO DO ALTO FORNO-01.,acompanhamento do alto forno-01.,
BLOQUEIO NÓS EQUIPAMENTOS DO CANAL -03 PARA EQUIPE DA LUBRIFICAÇÃO.,bloqueio nos equipamentos do canal -03 para equipe da lubrificacao.,
"TROCA DA CORRENTE DO JIB -04,TROCA DA CHAPA DO CPGE-02 DO AF-01.","troca da corrente do jib -04,troca da chapa do cpge-02 do af-01.",
Atendimento a reforma do despessador n 02 AF03,atendimento a reforma do despessador n 02 af03,
Atendimento no despessador 2 do AF 03,atendimento no despessador 2 do af 03,
Atendimento despessador 02 do AF 03,atendimento despessador 02 do af 03,
Troca do motor da moagen 03,troca do motor da moagen 03,
Troca do motor do ventilador principal da moagen 03,troca do motor do ventilador principal da moagen 03,
Troca de mangas do  PCI,troca de mangas do  pci,
Troca da bomba de recirculação do AF03 e alinhamento e balanciamento do motor principal do PCI 03,troca da bomba de recirculacao do af03 e alinhamento e balanciamento do motor principal do pci 03,
Troca do rolo do PCI 02,troca do rolo do pci 02,
Atendimento a serviço no PCI 03,atendimento a servico no pci 03,
Atendimento a demanda de serviço,atendimento a demanda de servico,
Atendimento a protidao do feriado PCI 01 injeçao,atendimento a protidao do feriado pci 01 injecao,
Troca de mangas PCI,troca de mangas pci,
Troca do mancal do motor gas de selagen,troca do mancal do motor gas de selagen,
Troca de sinterizado vaso  01 03 PCI 03,troca de sinterizado vaso  01 03 pci 03,
Desmobilizaçã do galpao 8,desmobilizaca do galpao 8,
Troca de sinterizado de fluertização,troca de sinterizado de fluertizacao,
Sinergia na sinterização,sinergia na sinterizacao,
Sinergia aciaria,sinergia aciaria,
Troca de mangas,troca de mangas,
Troca da corrente doTKF,troca da corrente dotkf,
Fabricação e organização AF 02,fabricacao e organizacao af 02,
Atendimento a prontidao no carregamento do AF 03 troca de celula vibratoria da peneira de coque,atendimento a prontidao no carregamento do af 03 troca de celula vibratoria da peneira de coque,
Atendimento na sinterização Sinergia,atendimento na sinterizacao sinergia,
Troca do avental do rolo abrasado LTQ,troca do avental do rolo abrasado ltq,
Troca da chapa e avental do rolo abrasado LTQ,troca da chapa e avental do rolo abrasado ltq,
Troca do motor do conpressor 2 PCI 1,troca do motor do conpressor 2 pci 1,
Organização da area do carregamento do AF02,organizacao da area do carregamento do af02,
- PREPARAÇÃO DO MOTOR C 10,- preparacao do motor c 10,
- TRATAMENTO DE GÁS- TROCA DA BOMBA.,- tratamento de gas- troca da bomba.,
- C5613A: CARRO MOVEL- DESTRAVAR.,- c5613a: carro movel- destravar.,
- ATENDIMENTO LINHA DO PCI.,- atendimento linha do pci.,
- RE 1202:  MONTAGEM DO TRUCK M 04.,- re 1202:  montagem do truck m 04.,
- LEVANTAMENTO DE ROLOS NA LINHA DO PCI JUNTO COM INSPETOR RENATO PREPARAÇÃO DE CARVÃO.,- levantamento de rolos na linha do pci junto com inspetor renato preparacao de carvao.,
ERMEGENCIA CR 03,ermegencia cr 03,
- ACOMPANHAMENTO LINHA VELHA PCI.,- acompanhamento linha velha pci.,
- ACOMPANHAR LINHA DE ABASTECIMENTO ALTO FORNO 02,- acompanhar linha de abastecimento alto forno 02,
ACOMPANHAR LINHA DE ABASTECIMENTO ALTO FORNO 02.,acompanhar linha de abastecimento alto forno 02.,
- ALINHAMENTO DA CORREIA C 5617.,- alinhamento da correia c 5617.,
- WF-14: ERMEGENCIA- SOLICITAÇÃO DO MAIN.,- wf-14: ermegencia- solicitacao do main.,
- ERMEGÊNCIA TROCA DO MOTOR C-5617 AR- SOLICITAÇÃO ALAIR SUPERVISOR.,- ermegencia troca do motor c-5617 ar- solicitacao alair supervisor.,
CR 03- DESMONTAR ROTOR. SOLICITAÇÃO DO SUPERVISOR ALAIR.,cr 03- desmontar rotor. solicitacao do supervisor alair.,
CR03: MONTAGEM DO ROTOR.,cr03: montagem do rotor.,
RE 1202: TROCA DO CONJUNTO ACIONAMENTO DA CORREIA DA LANÇA.,re 1202: troca do conjunto acionamento da correia da lanca.,
"- TROCA DO TAMBOR NA CK 3 BIS. "" SUPERVISOR ROBSON PRALON ""","- troca do tambor na ck 3 bis. "" supervisor robson pralon """,
- IMPEDIMENTO NA LINHA PCI- SOLICITAÇÃO SUPERVISOR ALAIR.,- impedimento na linha pci- solicitacao supervisor alair.,
- POSICIONAR GERADOR E LUMINÁRIA NA CAUDA DA C-5617. SOLICITANTE: ALAIR,- posicionar gerador e luminaria na cauda da c-5617. solicitante: alair,
- PREPARAÇÃO NA CK06 E SOLDA DOS CACHORROS NA CAPA DO ACOPLAMENTO.,- preparacao na ck06 e solda dos cachorros na capa do acoplamento.,
- CK 02: TROCA DO TAMBOR CONTATO ANGULAR. SUPERVISOR ROBSON PRALON.,- ck 02: troca do tambor contato angular. supervisor robson pralon.,
Troca do motor pc 3203A,troca do motor pc 3203a,
Troca da Bomba JP1,troca da bomba jp1,
Desmontagem painéis sala elétrica laboratório,desmontagem paineis sala eletrica laboratorio,
troca de acoplamentos e elementos elásticos do tripper Ck 6,troca de acoplamentos e elementos elasticos do tripper ck 6,
Reparo viga e troca de malhas SK2,reparo viga e troca de malhas sk2,
Troca da junta de expansão Ex 1201C,troca da junta de expansao ex 1201c,
Montagem de valvulas CL1,montagem de valvulas cl1,
Troca do pote selo SP0502,troca do pote selo sp0502,
Retirado acionamento válvula ES1505,retirado acionamento valvula es1505,
Organização sala de materiais tratamento de gás,organizacao sala de materiais tratamento de gas,
Manobra valvula by pass e saida lavador,manobra valvula by pass e saida lavador,
Preparação para troca do motor do exaustor 1201A,preparacao para troca do motor do exaustor 1201a,
Troca do motor PC 0502A,troca do motor pc 0502a,
Troca do motor pc 1505B,troca do motor pc 1505b,
Preventiva acionamento bc 334 e CK 202,preventiva acionamento bc 334 e ck 202,
Troca de tambor ck7,troca de tambor ck7,
Troca de elemento elástico e alinhamento ck7 bis,troca de elemento elastico e alinhamento ck7 bis,
Troca do cabo de aço contra peso ck4,troca do cabo de aco contra peso ck4,
Troca de redutor c5620a,troca de redutor c5620a,
Troca dos acoplamentos e alinhamento da pc 0105,troca dos acoplamentos e alinhamento da pc 0105,
Troca de trecho traço de vapor PC 0104A,troca de trecho traco de vapor pc 0104a,
Troca do rotor CR 3,troca do rotor cr 3,
Troca da bomba pc 0109C,troca da bomba pc 0109c,
Trocar trecho de tubulação de licor área 5,trocar trecho de tubulacao de licor area 5,
Troca do torpedo PC0101C,troca do torpedo pc0101c,
Troca da válvula de saída do TK 0501A,troca da valvula de saida do tk 0501a,
Troca de tambor de acionamento CK7Bis,troca de tambor de acionamento ck7bis,
Troca da bomba JP008,troca da bomba jp008,
Troca da válvula de sucção e trecho de tubulaçã de sucção PC 0103B,troca da valvula de succao e trecho de tubulaca de succao pc 0103b,
Troca dos acoplamentos e alinhamento da PC 0501F,troca dos acoplamentos e alinhamento da pc 0501f,
Apoio à operação na manobra de água do mar,apoio a operacao na manobra de agua do mar,
Reparo com solda quimica na linha de água do mar área 17,reparo com solda quimica na linha de agua do mar area 17,
Troca de tambor ST 0802,troca de tambor st 0802,
Troca do motor exaustor 1201C,troca do motor exaustor 1201c,
Troca de tambor redutor CK6,troca de tambor redutor ck6,
Troca de trecho de tubulação de saída água destilada coluna de amônia,troca de trecho de tubulacao de saida agua destilada coluna de amonia,
montar raquete interligação pc 1701A / pc 1701B/ pc 1701C,montar raquete interligacao pc 1701a / pc 1701b/ pc 1701c,
Trocas do motor pc 8203A,trocas do motor pc 8203a,
CK6 -  Recolher redutor e enviar para oficina montar acoplamentos,ck6 -  recolher redutor e enviar para oficina montar acoplamentos,
Troca do acoplamentor tambor de acionamento CKE2,troca do acoplamentor tambor de acionamento cke2,
Troca de trecho de tubulação de N2 na área 80,troca de trecho de tubulacao de n2 na area 80,
Troca de elementos elásticos e alinhamento CK21,troca de elementos elasticos e alinhamento ck21,
TROCA DO FRAME BAT 4,troca do frame bat 4,
PREVENTIVA DA MD2,preventiva da md2,
PREVENTIVA DA GC3,preventiva da gc3,
PREVENTIVA DA GC2,preventiva da gc2,
GC1,gc1,
TROCA DAS RODAS DO SACA TAMPAS CC4,troca das rodas do saca tampas cc4,
PREVENTIVA GC2,preventiva gc2,
PREVENTIVA DO CC5,preventiva do cc5,
"TROCA DAS RODAS DA GRADE, GUIA 2","troca das rodas da grade, guia 2",
TROCA DO MOTOR DE TRANSLAÇÃO DO CC6,troca do motor de translacao do cc6,
TROCA DA BARRA NIVELADORA DA MD2,troca da barra niveladora da md2,
TROCA DO TRUQUE DA GC1,troca do truque da gc1,
TROCA DA VALVUÇA DO VENTIS DA BATERIA 2\ LC,troca da valvuca do ventis da bateria 2\ lc,
PREVENTIVA NA PONTE 1,preventiva na ponte 1,
TROCA DE TRIHO DA GC1,troca de triho da gc1,
PREVENTIVA DA GC1,preventiva da gc1,
PREVENTIVA DO CC6,preventiva do cc6,
PREVENTIVA CC4,preventiva cc4,
ORGANIZAÇÃO DO PÁTIO DE MARTERIAIS\ FABRICAR CERCA,organizacao do patio de marteriais\ fabricar cerca,
PREVENTIVA DA MD1,preventiva da md1,
PREVENTIVA NO VAGAO,preventiva no vagao,
ATUAÇÃO NOS BARRAMENTOS DAS LOCOMOTIVAS,atuacao nos barramentos das locomotivas,
TROCA DO CABO DE AÇO DA PONTE 1,troca do cabo de aco da ponte 1,
PREVENTIVA DO CC4,preventiva do cc4,
MD3,md3,
PONTE 2,ponte 2,
PREVENTIVA NA GC2,preventiva na gc2,
PONTE 1,ponte 1,
GC3,gc3,
GUIA 3,guia 3,
TROCA DO CABO DE AÇO.PONTE 2,troca do cabo de aco.ponte 2,
OARADA DO CC4,oarada do cc4,
TROCA DO CILINDRO DE COG,troca do cilindro de cog,
ACOMPANHAMENTO A NR CDQ,acompanhamento a nr cdq,
"TROCA DA PLANTA DO ETB,MONTAGEM DE TUBULAÇÃO DE INOX","troca da planta do etb,montagem de tubulacao de inox",
APOIO AO PÁTIO DE MATERIAIS DA COQUERIA.,apoio ao patio de materiais da coqueria.,
SOLDA NO ESPELHO DA RODA DE CAÇAMBA DA SR205.,solda no espelho da roda de cacamba da sr205.,
SOLDA E MONTAGEM NA TUBULAÇÃO DE INOX DA PLANTA DO ETB.,solda e montagem na tubulacao de inox da planta do etb.,
SOLDA NA ESTRUTURA DA MAQUINA RE-1202.,solda na estrutura da maquina re-1202.,
HORA EXTRA NA LETRA B,hora extra na letra b,
PINTURA E ARRUMAÇÃO NA BASE DO TURNO E APOIO AO TURNO LETRA C.,pintura e arrumacao na base do turno e apoio ao turno letra c.,
ATENDIMENTO AO ADM E TROCA DO REDUTOR DA CORREIA CK-8.,atendimento ao adm e troca do redutor da correia ck-8.,
ATENDIMENTO AO PLANEJADOR WALLACE.,atendimento ao planejador wallace.,
HORA EXTRA NA MONTAGEM DO SELO POTE NO TRATAMENTO DE GÁS,hora extra na montagem do selo pote no tratamento de gas,
APOIO AO TURNO LETRA C E ARRUMAÇÃO E ORGANIZAÇÃO NA BASE DO TURNO.,apoio ao turno letra c e arrumacao e organizacao na base do turno.,
APOIO A LETRA C E PINTURA NA VASE DO TURNO,apoio a letra c e pintura na vase do turno,
APOIO A LETRA C E PINTURA NA BASE DO TURNO,apoio a letra c e pintura na base do turno,
TROCA DO COMPRENSSOR DE COG  E VALVULA NA ARÉA DO TRATAMENTO DE GÁS,troca do comprenssor de cog  e valvula na area do tratamento de gas,
Hora extra no adm e preparação para solda da meia cana.,hora extra no adm e preparacao para solda da meia cana.,
APOIO A LETRA C,apoio a letra c,
APOIO A LETRA B,apoio a letra b,
APOIO AO PATIO DE CARVÃO,apoio ao patio de carvao,
Soldar tirante da estrutura da cauda da C5608 solicitado pelo supervisor Jonathan.,soldar tirante da estrutura da cauda da c5608 solicitado pelo supervisor jonathan.,
Apoio a letra C,apoio a letra c,
Apoio a letra A na ausência do Carlão.,apoio a letra a na ausencia do carlao.,
Apoio a letra A,apoio a letra a,
CDQ solda nas caldeiras 401 e 501.,cdq solda nas caldeiras 401 e 501.,
Fabricação da nova ferramentaria,fabricacao da nova ferramentaria,
"Apoio a letra C, férias do Fabinho.","apoio a letra c, ferias do fabinho.",
Montagem da oficiona do turno e fabricação e montagem do suporte para sala eletrica do gás.,montagem da oficiona do turno e fabricacao e montagem do suporte para sala eletrica do gas.,
SK1 reposicionar regua e malha.,sk1 reposicionar regua e malha.,
NR 33 espaço confirmado.,nr 33 espaco confirmado.,
re 1201 soldar chapa,re 1201 soldar chapa,
prontidao lugar do igo,prontidao lugar do igo,
troca do redutor da re1202,troca do redutor da re1202,
5611atroca da viga motor traslacao,5611atroca da viga motor traslacao,
troca do tambor 331,troca do tambor 331,
acionado prontidao lugar do fabao,acionado prontidao lugar do fabao,
troca do cabo de aco 5604,troca do cabo de aco 5604,
recolher materia de oleo,recolher materia de oleo,
reforco na viga na figa do contra pesso 5604,reforco na viga na figa do contra pesso 5604,
reforco na viga da 5608,reforco na viga da 5608,
retirar tambor bc211,retirar tambor bc211,
colocar tambor da bc211,colocar tambor da bc211,
bc 211tambor da calda,bc 211tambor da calda,
aliamento no acionamento da bc211,aliamento no acionamento da bc211,
bc216 emendada da correia,bc216 emendada da correia,
bc 216 emenda da crreia,bc 216 emenda da crreia,
mudanca dos computadores,mudanca dos computadores,
trocar acoplamento bc331,trocar acoplamento bc331,
cabecaca movel pra operacao,cabecaca movel pra operacao,
servico nare1202,servico nare1202,
cabeca movel da 5614,cabeca movel da 5614,
servico no conteiner,servico no conteiner,
re1202troca da correia,re1202troca da correia,
c5604 troca do rolamento,c5604 troca do rolamento,
acionado prontidao,acionado prontidao,
solda carinho de esticamento,solda carinho de esticamento,
TRATAMENTO DE GÁS E CARVÃO - acionado prontidao,tratamento de gas e carvao - acionado prontidao,
carvao st001,carvao st001,
carvao,carvao,
coque ck203,coque ck203,
carvao 331 contra pesso,carvao 331 contra pesso,
bc211,bc211,
5613a,5613a,
bc216,bc216,
5607,5607,
servicos do conteiner,servicos do conteiner,
bc215a reforco na viga contra pesso,bc215a reforco na viga contra pesso,
troca do motor pc 3203 A,troca do motor pc 3203 a,
troca da bomba pc 108 B,troca da bomba pc 108 b,
troca do tambor dedesviu CK7 bis,troca do tambor dedesviu ck7 bis,
troca do acionamento ck5 bis,troca do acionamento ck5 bis,
atendimento tratamento de carvao,atendimento tratamento de carvao,
reparo na tubulaçao de enxofre claus,reparo na tubulacao de enxofre claus,
sanar vasamento tubulaçao n 2 area 15,sanar vasamento tubulacao n 2 area 15,
troca do motor exaustor 1201 A,troca do motor exaustor 1201 a,
fabricaçao de braçadeira agua do mar area 17,fabricacao de bracadeira agua do mar area 17,
preparaçao para troca da valvula area 5,preparacao para troca da valvula area 5,
redutor da CK 5 bis,redutor da ck 5 bis,
trocar torpedo da bomba 0101 E,trocar torpedo da bomba 0101 e,
ck 7 troca de rolos e suportes e abrir mancau,ck 7 troca de rolos e suportes e abrir mancau,
troca do redutor do pci,troca do redutor do pci,
reparo estrural C5613,reparo estrural c5613,
sanar vasamento pc0104 A,sanar vasamento pc0104 a,
troca do rotor CR3,troca do rotor cr3,
troca da bomba pc 0109 C area 1,troca da bomba pc 0109 c area 1,
apoio na calderinha e coluna de amonia,apoio na calderinha e coluna de amonia,
troca do motor pc 0502 A,troca do motor pc 0502 a,
troca do torpedo da boma 0101 C,troca do torpedo da boma 0101 c,
abrir valvula de entrada do resfriador 4,abrir valvula de entrada do resfriador 4,
troca da valvula de saida do tk 0501 A,troca da valvula de saida do tk 0501 a,
sanar vasamento linha de incendio,sanar vasamento linha de incendio,
troca da bomba jp 008,troca da bomba jp 008,
pc 0103 B troca da valvula de 6 e curva,pc 0103 b troca da valvula de 6 e curva,
C 5608 tambor e estrutura,c 5608 tambor e estrutura,
C5608 tambor e estrutura,c5608 tambor e estrutura,
C5608 correia tambor e estrutura,c5608 correia tambor e estrutura,
"CK 6 troca do tambor ,e troca do elemento elastico do redutor motor da roda i do triper","ck 6 troca do tambor ,e troca do elemento elastico do redutor motor da roda i do triper",
reparo na tubulaçao de agua do mar area 17,reparo na tubulacao de agua do mar area 17,
troca da valvula da area 17,troca da valvula da area 17,
sanar vasamento agua do mar area 80,sanar vasamento agua do mar area 80,
exaustor c troca da valvula e colocado oleo,exaustor c troca da valvula e colocado oleo,
troca da valvula deflamegador da coluna,troca da valvula deflamegador da coluna,
troca da roda motris do cl 2,troca da roda motris do cl 2,
sanar vasamento he1702 C e tampar furo do lavador,sanar vasamento he1702 c e tampar furo do lavador,
troca da valvula diafraquima do exaustor c,troca da valvula diafraquima do exaustor c,
troca do motor da jp 7,troca do motor da jp 7,
reforço no acoplamentodo tambor do triper da ck6,reforco no acoplamentodo tambor do triper da ck6,
troca da tubulaçao agua desairada area 17,troca da tubulacao agua desairada area 17,
troca da tubulaçao de envio de licor pra bateria,troca da tubulacao de envio de licor pra bateria,
troca do tambor da c 5604,troca do tambor da c 5604,
troca tambor e redutor acionamento ck 5,troca tambor e redutor acionamento ck 5,
solda no rotor do CR 2,solda no rotor do cr 2,
troca do acoplamemto do tambor de ascionamento da cke 2,troca do acoplamemto do tambor de ascionamento da cke 2,
troca do trecho da tubulaçao N2 area 80,troca do trecho da tubulacao n2 area 80,
sanar vasamento na tubulaçao agua do mar 8201 B,sanar vasamento na tubulacao agua do mar 8201 b,
colocar chapa no cilindro da lança da reclamer 1,colocar chapa no cilindro da lanca da reclamer 1,
Prontidão supervisão ICCM - Tambor C5608,prontidao supervisao iccm - tambor c5608,
Acompanhamento equipe MPCA,acompanhamento equipe mpca,
Acompanhamento equipe EMTG - Troca bomba PC0106,acompanhamento equipe emtg - troca bomba pc0106,
Acompanhamento equipe EMTG - Troca tubulação licor  área 15,acompanhamento equipe emtg - troca tubulacao licor  area 15,
Acompanhamento equipe EMTG - Mangote linha COG,acompanhamento equipe emtg - mangote linha cog,
Troca do vibrador GHK1 / Preparação motor Exaustor A,troca do vibrador ghk1 / preparacao motor exaustor a,
Acompanhamento equipe EMTG - Válvula resfriador 3,acompanhamento equipe emtg - valvula resfriador 3,
Acompanhamento Troca da correia BC333,acompanhamento troca da correia bc333,
Acompanhamento atividade na RE1201,acompanhamento atividade na re1201,
Acompanhamento equipe MPCA - Troca da correia CR3,acompanhamento equipe mpca - troca da correia cr3,
Acompanhamento equipe MPCA - Troca do cabo de aço da C5619,acompanhamento equipe mpca - troca do cabo de aco da c5619,
Acompanhamento equipe MPCA - Troca da roldana C5619 / Rolamento C12,acompanhamento equipe mpca - troca da roldana c5619 / rolamento c12,
Acompanhamento troca do cabo da CK5,acompanhamento troca do cabo da ck5,
Recebimento de carvão - C5607,recebimento de carvao - c5607,
Acompanhamento equipe MPCA - pREVENTIVA cr2,acompanhamento equipe mpca - preventiva cr2,
C5617AR - Troca do motor,c5617ar - troca do motor,
Troca do rotor do CR3,troca do rotor do cr3,
CR3 - Desmontagem do rotor devido quebra dos parafusos do rotor,cr3 - desmontagem do rotor devido quebra dos parafusos do rotor,
Rotor do Britador CR3,rotor do britador cr3,
Prontidão - C5610 - TROCA DO TAMBOR,prontidao - c5610 - troca do tambor,
Prontidão - C5607 - CABO DE AÇO DO CONTRAPESO,prontidao - c5607 - cabo de aco do contrapeso,
ROTOR BRITADOR CR3 / ACOMPANHAMENTO EQUIPE INOMEC TUBULÃO,rotor britador cr3 / acompanhamento equipe inomec tubulao,
INSTALAÇÃO DO ROTOR DO CR3,instalacao do rotor do cr3,
ICCP - Acompanhamento rotina Supervisão,iccp - acompanhamento rotina supervisao,
Surpervisão ICCP - Acompanhamento equipe Letra A,surpervisao iccp - acompanhamento equipe letra a,
GEDP - Equipe MPCA,gedp - equipe mpca,
GEDP - ICCM / ICCP,gedp - iccm / iccp,
Luciano/troca de tambor desvio ST0802,luciano/troca de tambor desvio st0802,
alair/ troca do tambor de descarga C.5619,alair/ troca do tambor de descarga c.5619,
Main/troca do redutor da roda de caçamba R.E1202.,main/troca do redutor da roda de cacamba r.e1202.,
MAIN\BC:211 alinhamento no acionamento,main\bc:211 alinhamento no acionamento,
Main\  troca do esticador e cripes  Da MH,main\  troca do esticador e cripes  da mh,
troca da conha R.E1202,troca da conha r.e1202,
Jonathan/ troca do cabo de aço C.5604,jonathan/ troca do cabo de aco c.5604,
main\ troca da roda motriz RP207,main\ troca da roda motriz rp207,
luciano\ montagem do cilindro DG5,luciano\ montagem do cilindro dg5,
Alair-troca de chapa de piso CK5bis,alair-troca de chapa de piso ck5bis,
Main- CR3  desmotagem  da polia motriz e voith.,main- cr3  desmotagem  da polia motriz e voith.,
robson/BC:333 auxilio  na troca da correia.,robson/bc:333 auxilio  na troca da correia.,
Robson / AlinhamentoCK5bis,robson / alinhamentock5bis,
Sk1 solda nas trincas da viga caixao.,sk1 solda nas trincas da viga caixao.,
Troca do excitador da SK1.,troca do excitador da sk1.,
BC331 troca do tambor de desvio,bc331 troca do tambor de desvio,
Jonathan/ St0801 troca do redutor M3,jonathan/ st0801 troca do redutor m3,
Jonathan\ c.5608 ajuste dos tambores de acionamento e desvio.,jonathan\ c.5608 ajuste dos tambores de acionamento e desvio.,
"socrates\ Guia de coque 3, troca das vigas da grade.","socrates\ guia de coque 3, troca das vigas da grade.",
Jonathan\ ST0802 troca do tambor de acionamento  da correia da lança.,jonathan\ st0802 troca do tambor de acionamento  da correia da lanca.,
R.E 1202 troca do redutor da correia da lança.,r.e 1202 troca do redutor da correia da lanca.,
Alair/. trocar do rotor do britador CR3.,alair/. trocar do rotor do britador cr3.,
JOnathan/RE1202 troca do acionamento da correia da lança,jonathan/re1202 troca do acionamento da correia da lanca,
jonathan/montagem do motor de acionamento da correia da lança SR 205,jonathan/montagem do motor de acionamento da correia da lanca sr 205,
Jonathan/ SR205 troca do motor de acionamento da correia da lança.,jonathan/ sr205 troca do motor de acionamento da correia da lanca.,
jonathan/ ST0802 troca do desvio maquina.,jonathan/ st0802 troca do desvio maquina.,
Robson/ troca das malhas SK2.,robson/ troca das malhas sk2.,
Main/ troca do redutor C.5619 A.,main/ troca do redutor c.5619 a.,
robson/ troca do acionamento CK6.,robson/ troca do acionamento ck6.,
Renato/ trocar tubulação de agua desairada  proximo area 17.,renato/ trocar tubulacao de agua desairada  proximo area 17.,
Jonathan/ troca do truck da R.E 1202,jonathan/ troca do truck da r.e 1202,
Robson\ troca dos tambores CK1 cauda/ contato angular.,robson\ troca dos tambores ck1 cauda/ contato angular.,
robson\ troca do Redutor ck6,robson\ troca do redutor ck6,
C.5615 levantar contra peso/apoio para troca da correia.,c.5615 levantar contra peso/apoio para troca da correia.,
RE 1202 troca do redutor de translação,re 1202 troca do redutor de translacao,
CR2 troca do rotor,cr2 troca do rotor,
Cr3 solda nas trincas,cr3 solda nas trincas,
Colapso da viga principal da RE1201,colapso da viga principal da re1201,
Avaliação na viga principal da RE1201,avaliacao na viga principal da re1201,
Acompanhamento da perfomace da ST1201 e rasgo da BC-211.,acompanhamento da perfomace da st1201 e rasgo da bc-211.,
Acompnhamento tecnico na RE1201,acompnhamento tecnico na re1201,
Atendimento na BC-211.,atendimento na bc-211.,
Parda forno 2,parda forno 2,
TRAC-2,trac-2,
Alinhamento do acionamneto correia CK-5 bis.,alinhamento do acionamneto correia ck-5 bis.,
Troca do redututor da correia CK-5 bis - Montagem do redutor não bateu na base,troca do redututor da correia ck-5 bis - montagem do redutor nao bateu na base,
Apoio na correia BC-332A e atendimento da identificação e planejamento para troca do excitador SK-1.,apoio na correia bc-332a e atendimento da identificacao e planejamento para troca do excitador sk-1.,
"Acompanhar a rota do PCI, Preparação e envio de carvão para sol coqueria.","acompanhar a rota do pci, preparacao e envio de carvao para sol coqueria.",
Atuação na Guia da correia CK-202.,atuacao na guia da correia ck-202.,
Blackout na coqueria,blackout na coqueria,
Troca do redutor da correia CK-6.,troca do redutor da correia ck-6.,
Troca do tambor de desvo da correia C-5604 - Prontidão,troca do tambor de desvo da correia c-5604 - prontidao,
Troca do redutor da correia CK-6 e rasgo correia C-5615,troca do redutor da correia ck-6 e rasgo correia c-5615,
Apoio ao turno mecânico.,apoio ao turno mecanico.,
cobindo colega afastado motivo de saúde.,cobindo colega afastado motivo de saude.,
Apoio a equipe do turno da letra C para atividade da troca do disco da GRV do AF#3.,apoio a equipe do turno da letra c para atividade da troca do disco da grv do af#3.,
AF2 parado devido quebra do canhão 01,af2 parado devido quebra do canhao 01,
Apoio AF#2 perfurador e canhão.,apoio af#2 perfurador e canhao.,
"APOIO A OPERAÇÃO PARA POSSÍVEIS OCORRÊNCIAS DE CRIVO ALTO AS MOAGENS 1,2 E 3 DO PCI ...NOVO CARVÃO","apoio a operacao para possiveis ocorrencias de crivo alto as moagens 1,2 e 3 do pci ...novo carvao",
atendimento no perfurador da casa de corrida do AF1,atendimento no perfurador da casa de corrida do af1,
NR33 espaço confinado,nr33 espaco confinado,
cobrindo colega por afastamento médico.,cobrindo colega por afastamento medico.,
auxiliar o atc no forno 2 e 3,auxiliar o atc no forno 2 e 3,
APOIO A EQUIPE DO TURNO DEVIDO A INSTABILIDADE DO AF#1.,apoio a equipe do turno devido a instabilidade do af#1.,
Suporte as atividades programadas da casa de corrida devido ausência da equipe que estava no AF2,suporte as atividades programadas da casa de corrida devido ausencia da equipe que estava no af2,
Retirada do eletro imã conjunto 3 do CC6.,retirada do eletro ima conjunto 3 do cc6.,
atendimento a boca de carga da 201 e 101,atendimento a boca de carga da 201 e 101,
atuação no barramento da ponte 02,atuacao no barramento da ponte 02,
montar e alinhar bomba P 401.,montar e alinhar bomba p 401.,
troca do motor da bomba P401,troca do motor da bomba p401,
desobstruir descarga da unidade 401,desobstruir descarga da unidade 401,
manobra da HV7 unidade 101,manobra da hv7 unidade 101,
reparo no carro da boca de carga unidade 201.,reparo no carro da boca de carga unidade 201.,
manobra de locomotiva,manobra de locomotiva,
ALINAMENTO DO MF 501,alinamento do mf 501,
alinhamento e balanciamento do MF501.,alinhamento e balanciamento do mf501.,
montar bomba P102 e alinhar conjunto,montar bomba p102 e alinhar conjunto,
restabelecer unidade 101 e inspecionar furos na descarga.,restabelecer unidade 101 e inspecionar furos na descarga.,
fazer manobra da HV7,fazer manobra da hv7,
reparo no carro da boca de carga unidade 101.e manobra da valvula HV7,reparo no carro da boca de carga unidade 101.e manobra da valvula hv7,
acompanhar retorno da caldeira unidade 401,acompanhar retorno da caldeira unidade 401,
realizar manobra da HV 7,realizar manobra da hv 7,
acompanhar ocorrencia da caçamba 3,acompanhar ocorrencia da cacamba 3,
manobra da valvula HV7,manobra da valvula hv7,
acompanhar retorno da unidade 401,acompanhar retorno da unidade 401,
tracar bomba P002.,tracar bomba p002.,
normalizar bombas MBC05 e MBC06,normalizar bombas mbc05 e mbc06,
