Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
prontidao lugar do igo,prontidao lugar do igo,,Substituição de Colaborador
troca do redutor da re1202,troca do redutor da re1202,,Manutenção/Inspeção/Teste de Máquina
5611atroca da viga motor traslacao,5611atroca da viga motor traslacao,,Manutenção/Inspeção/Teste de Máquina
troca do tambor 331,troca do tambor 331,,Manutenção/Inspeção/Teste de Máquina
acionado prontidao lugar do fabao,acionado prontidao lugar do fabao,,Substituição de Colaborador
troca do cabo de aco 5604,troca do cabo de aco 5604,,Manutenção/Inspeção/Teste de Máquina
recolher materia de oleo,recolher materia de oleo,,Não Classificado
reforco na viga na figa do contra pesso 5604,reforco na viga na figa do contra pesso 5604,,Não Classificado
reforco na viga da 5608,reforco na viga da 5608,,Manutenção/Inspeção/Teste de Máquina
retirar tambor bc211,retirar tambor bc211,,Não Classificado
colocar tambor da bc211,colocar tambor da bc211,,Manutenção/Inspeção/Teste de Máquina
bc 211tambor da calda,bc 211tambor da calda,,Não Classificado
aliamento no acionamento da bc211,aliamento no acionamento da bc211,,Manutenção/Inspeção/Teste de Máquina
bc216 emendada da correia,bc216 emendada da correia,,Manutenção/Inspeção/Teste de Máquina
bc 216 emenda da crreia,bc 216 emenda da crreia,,Não Classificado
mudanca dos computadores,mudanca dos computadores,,Não Classificado
trocar acoplamento bc331,trocar acoplamento bc331,,Manutenção/Inspeção/Teste de Máquina
cabecaca movel pra operacao,cabecaca movel pra operacao,,Parada de Máquina
servico nare1202,servico nare1202,,Não Classificado
cabeca movel da 5614,cabeca movel da 5614,,Parada de Máquina
servico no conteiner,servico no conteiner,,Não Classificado
re1202troca da correia,re1202troca da correia,,Manutenção/Inspeção/Teste de Máquina
c5604 troca do rolamento,c5604 troca do rolamento,,Manutenção/Inspeção/Teste de Máquina
acionado prontidao,acionado prontidao,,Não Classificado
solda carinho de esticamento,solda carinho de esticamento,,Manutenção/Inspeção/Teste de Máquina
TRATAMENTO DE GÁS E CARVÃO - acionado prontidao,tratamento de gas e carvao - acionado prontidao,,Parada de Máquina
carvao st001,carvao st001,,Não Classificado
carvao,carvao,,Não Classificado
coque ck203,coque ck203,,Parada de Máquina
carvao 331 contra pesso,carvao 331 contra pesso,,Não Classificado
bc211,bc211,,Não Classificado
5613a,5613a,,Não Classificado
bc216,bc216,,Não Classificado
5607,5607,,Não Classificado
servicos do conteiner,servicos do conteiner,,Não Classificado
bc215a reforco na viga contra pesso,bc215a reforco na viga contra pesso,,Não Classificado
troca do motor pc 3203 A,troca do motor pc 3203 a,,Manutenção/Inspeção/Teste de Máquina
troca da bomba pc 108 B,troca da bomba pc 108 b,,Manutenção/Inspeção/Teste de Máquina
troca do tambor dedesviu CK7 bis,troca do tambor dedesviu ck7 bis,,Manutenção/Inspeção/Teste de Máquina
troca do acionamento ck5 bis,troca do acionamento ck5 bis,,Manutenção/Inspeção/Teste de Máquina
atendimento tratamento de carvao,atendimento tratamento de carvao,,Não Classificado
reparo na tubulaçao de enxofre claus,reparo na tubulacao de enxofre claus,,Manutenção/Inspeção/Teste de Máquina
sanar vasamento tubulaçao n 2 area 15,sanar vasamento tubulacao n 2 area 15,,Manutenção/Inspeção/Teste de Máquina
troca do motor exaustor 1201 A,troca do motor exaustor 1201 a,,Manutenção/Inspeção/Teste de Máquina
fabricaçao de braçadeira agua do mar area 17,fabricacao de bracadeira agua do mar area 17,,Não Classificado
preparaçao para troca da valvula area 5,preparacao para troca da valvula area 5,,Manutenção/Inspeção/Teste de Máquina
redutor da CK 5 bis,redutor da ck 5 bis,,Parada de Máquina
trocar torpedo da bomba 0101 E,trocar torpedo da bomba 0101 e,,Manutenção/Inspeção/Teste de Máquina
ck 7 troca de rolos e suportes e abrir mancau,ck 7 troca de rolos e suportes e abrir mancau,,Manutenção/Inspeção/Teste de Máquina
troca do redutor do pci,troca do redutor do pci,,Manutenção/Inspeção/Teste de Máquina
reparo estrural C5613,reparo estrural c5613,,Manutenção/Inspeção/Teste de Máquina
sanar vasamento pc0104 A,sanar vasamento pc0104 a,,Manutenção/Inspeção/Teste de Máquina
troca do rotor CR3,troca do rotor cr3,,Manutenção/Inspeção/Teste de Máquina
troca da bomba pc 0109 C area 1,troca da bomba pc 0109 c area 1,,Manutenção/Inspeção/Teste de Máquina
apoio na calderinha e coluna de amonia,apoio na calderinha e coluna de amonia,,Manutenção/Inspeção/Teste de Máquina
troca do motor pc 0502 A,troca do motor pc 0502 a,,Manutenção/Inspeção/Teste de Máquina
troca do torpedo da boma 0101 C,troca do torpedo da boma 0101 c,,Manutenção/Inspeção/Teste de Máquina
abrir valvula de entrada do resfriador 4,abrir valvula de entrada do resfriador 4,,Manutenção/Inspeção/Teste de Máquina
troca da valvula de saida do tk 0501 A,troca da valvula de saida do tk 0501 a,,Manutenção/Inspeção/Teste de Máquina
sanar vasamento linha de incendio,sanar vasamento linha de incendio,,Manutenção/Inspeção/Teste de Máquina
troca da bomba jp 008,troca da bomba jp 008,,Manutenção/Inspeção/Teste de Máquina
pc 0103 B troca da valvula de 6 e curva,pc 0103 b troca da valvula de 6 e curva,,Manutenção/Inspeção/Teste de Máquina
C 5608 tambor e estrutura,c 5608 tambor e estrutura,,Não Classificado
C5608 tambor e estrutura,c5608 tambor e estrutura,,Não Classificado
C5608 correia tambor e estrutura,c5608 correia tambor e estrutura,,Manutenção/Inspeção/Teste de Máquina
"CK 6 troca do tambor ,e troca do elemento elastico do redutor motor da roda i do triper","ck 6 troca do tambor ,e troca do elemento elastico do redutor motor da roda i do triper",,Manutenção/Inspeção/Teste de Máquina
reparo na tubulaçao de agua do mar area 17,reparo na tubulacao de agua do mar area 17,,Manutenção/Inspeção/Teste de Máquina
troca da valvula da area 17,troca da valvula da area 17,,Manutenção/Inspeção/Teste de Máquina
sanar vasamento agua do mar area 80,sanar vasamento agua do mar area 80,,Manutenção/Inspeção/Teste de Máquina
exaustor c troca da valvula e colocado oleo,exaustor c troca da valvula e colocado oleo,,Manutenção/Inspeção/Teste de Máquina
troca da valvula deflamegador da coluna,troca da valvula deflamegador da coluna,,Manutenção/Inspeção/Teste de Máquina
troca da roda motris do cl 2,troca da roda motris do cl 2,,Manutenção/Inspeção/Teste de Máquina
sanar vasamento he1702 C e tampar furo do lavador,sanar vasamento he1702 c e tampar furo do lavador,,Manutenção/Inspeção/Teste de Máquina
troca da valvula diafraquima do exaustor c,troca da valvula diafraquima do exaustor c,,Manutenção/Inspeção/Teste de Máquina
troca do motor da jp 7,troca do motor da jp 7,,Manutenção/Inspeção/Teste de Máquina
reforço no acoplamentodo tambor do triper da ck6,reforco no acoplamentodo tambor do triper da ck6,,Manutenção/Inspeção/Teste de Máquina
troca da tubulaçao agua desairada area 17,troca da tubulacao agua desairada area 17,,Manutenção/Inspeção/Teste de Máquina
troca da tubulaçao de envio de licor pra bateria,troca da tubulacao de envio de licor pra bateria,,Manutenção/Inspeção/Teste de Máquina
troca do tambor da c 5604,troca do tambor da c 5604,,Manutenção/Inspeção/Teste de Máquina
troca tambor e redutor acionamento ck 5,troca tambor e redutor acionamento ck 5,,Manutenção/Inspeção/Teste de Máquina
solda no rotor do CR 2,solda no rotor do cr 2,,Manutenção/Inspeção/Teste de Máquina
troca do acoplamemto do tambor de ascionamento da cke 2,troca do acoplamemto do tambor de ascionamento da cke 2,,Manutenção/Inspeção/Teste de Máquina
troca do trecho da tubulaçao N2 area 80,troca do trecho da tubulacao n2 area 80,,Manutenção/Inspeção/Teste de Máquina
sanar vasamento na tubulaçao agua do mar 8201 B,sanar vasamento na tubulacao agua do mar 8201 b,,Manutenção/Inspeção/Teste de Máquina
colocar chapa no cilindro da lança da reclamer 1,colocar chapa no cilindro da lanca da reclamer 1,,Manutenção/Inspeção/Teste de Máquina
Prontidão supervisão ICCM - Tambor C5608,prontidao supervisao iccm - tambor c5608,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento equipe MPCA,acompanhamento equipe mpca,,Não Classificado
Acompanhamento equipe EMTG - Troca bomba PC0106,acompanhamento equipe emtg - troca bomba pc0106,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento equipe EMTG - Troca tubulação licor  área 15,acompanhamento equipe emtg - troca tubulacao licor  area 15,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento equipe EMTG - Mangote linha COG,acompanhamento equipe emtg - mangote linha cog,,Manutenção/Inspeção/Teste de Máquina
Troca do vibrador GHK1 / Preparação motor Exaustor A,troca do vibrador ghk1 / preparacao motor exaustor a,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento equipe EMTG - Válvula resfriador 3,acompanhamento equipe emtg - valvula resfriador 3,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento Troca da correia BC333,acompanhamento troca da correia bc333,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento atividade na RE1201,acompanhamento atividade na re1201,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento equipe MPCA - Troca da correia CR3,acompanhamento equipe mpca - troca da correia cr3,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento equipe MPCA - Troca do cabo de aço da C5619,acompanhamento equipe mpca - troca do cabo de aco da c5619,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento equipe MPCA - Troca da roldana C5619 / Rolamento C12,acompanhamento equipe mpca - troca da roldana c5619 / rolamento c12,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento troca do cabo da CK5,acompanhamento troca do cabo da ck5,,Manutenção/Inspeção/Teste de Máquina
Recebimento de carvão - C5607,recebimento de carvao - c5607,,Não Classificado
Acompanhamento equipe MPCA - pREVENTIVA cr2,acompanhamento equipe mpca - preventiva cr2,,Manutenção/Inspeção/Teste de Máquina
C5617AR - Troca do motor,c5617ar - troca do motor,,Manutenção/Inspeção/Teste de Máquina
Troca do rotor do CR3,troca do rotor do cr3,,Manutenção/Inspeção/Teste de Máquina
CR3 - Desmontagem do rotor devido quebra dos parafusos do rotor,cr3 - desmontagem do rotor devido quebra dos parafusos do rotor,,Parada de Máquina
Rotor do Britador CR3,rotor do britador cr3,,Parada de Máquina
Prontidão - C5610 - TROCA DO TAMBOR,prontidao - c5610 - troca do tambor,,Manutenção/Inspeção/Teste de Máquina
Prontidão - C5607 - CABO DE AÇO DO CONTRAPESO,prontidao - c5607 - cabo de aco do contrapeso,,Manutenção/Inspeção/Teste de Máquina
ROTOR BRITADOR CR3 / ACOMPANHAMENTO EQUIPE INOMEC TUBULÃO,rotor britador cr3 / acompanhamento equipe inomec tubulao,,Manutenção/Inspeção/Teste de Máquina
INSTALAÇÃO DO ROTOR DO CR3,instalacao do rotor do cr3,,Manutenção/Inspeção/Teste de Máquina
ICCP - Acompanhamento rotina Supervisão,iccp - acompanhamento rotina supervisao,,Não Classificado
Surpervisão ICCP - Acompanhamento equipe Letra A,surpervisao iccp - acompanhamento equipe letra a,,Não Classificado
GEDP - Equipe MPCA,gedp - equipe mpca,,Não Classificado
GEDP - ICCM / ICCP,gedp - iccm / iccp,,Não Classificado
Luciano/troca de tambor desvio ST0802,luciano/troca de tambor desvio st0802,,Manutenção/Inspeção/Teste de Máquina
alair/ troca do tambor de descarga C.5619,alair/ troca do tambor de descarga c.5619,,Manutenção/Inspeção/Teste de Máquina
Main/troca do redutor da roda de caçamba R.E1202.,main/troca do redutor da roda de cacamba r.e1202.,,Manutenção/Inspeção/Teste de Máquina
MAIN\BC:211 alinhamento no acionamento,main\bc:211 alinhamento no acionamento,,Manutenção/Inspeção/Teste de Máquina
Main\  troca do esticador e cripes  Da MH,main\  troca do esticador e cripes  da mh,,Manutenção/Inspeção/Teste de Máquina
troca da conha R.E1202,troca da conha r.e1202,,Manutenção/Inspeção/Teste de Máquina
Jonathan/ troca do cabo de aço C.5604,jonathan/ troca do cabo de aco c.5604,,Manutenção/Inspeção/Teste de Máquina
main\ troca da roda motriz RP207,main\ troca da roda motriz rp207,,Manutenção/Inspeção/Teste de Máquina
luciano\ montagem do cilindro DG5,luciano\ montagem do cilindro dg5,,Manutenção/Inspeção/Teste de Máquina
Alair-troca de chapa de piso CK5bis,alair-troca de chapa de piso ck5bis,,Manutenção/Inspeção/Teste de Máquina
Main- CR3  desmotagem  da polia motriz e voith.,main- cr3  desmotagem  da polia motriz e voith.,,Manutenção/Inspeção/Teste de Máquina
robson/BC:333 auxilio  na troca da correia.,robson/bc:333 auxilio  na troca da correia.,,Manutenção/Inspeção/Teste de Máquina
Robson / AlinhamentoCK5bis,robson / alinhamentock5bis,,Manutenção/Inspeção/Teste de Máquina
Sk1 solda nas trincas da viga caixao.,sk1 solda nas trincas da viga caixao.,,Manutenção/Inspeção/Teste de Máquina
Troca do excitador da SK1.,troca do excitador da sk1.,,Manutenção/Inspeção/Teste de Máquina
BC331 troca do tambor de desvio,bc331 troca do tambor de desvio,,Manutenção/Inspeção/Teste de Máquina
Jonathan/ St0801 troca do redutor M3,jonathan/ st0801 troca do redutor m3,,Manutenção/Inspeção/Teste de Máquina
Jonathan\ c.5608 ajuste dos tambores de acionamento e desvio.,jonathan\ c.5608 ajuste dos tambores de acionamento e desvio.,,Manutenção/Inspeção/Teste de Máquina
"socrates\ Guia de coque 3, troca das vigas da grade.","socrates\ guia de coque 3, troca das vigas da grade.",,Manutenção/Inspeção/Teste de Máquina
Jonathan\ ST0802 troca do tambor de acionamento  da correia da lança.,jonathan\ st0802 troca do tambor de acionamento  da correia da lanca.,,Manutenção/Inspeção/Teste de Máquina
R.E 1202 troca do redutor da correia da lança.,r.e 1202 troca do redutor da correia da lanca.,,Manutenção/Inspeção/Teste de Máquina
Alair/. trocar do rotor do britador CR3.,alair/. trocar do rotor do britador cr3.,,Manutenção/Inspeção/Teste de Máquina
JOnathan/RE1202 troca do acionamento da correia da lança,jonathan/re1202 troca do acionamento da correia da lanca,,Manutenção/Inspeção/Teste de Máquina
jonathan/montagem do motor de acionamento da correia da lança SR 205,jonathan/montagem do motor de acionamento da correia da lanca sr 205,,Manutenção/Inspeção/Teste de Máquina
Jonathan/ SR205 troca do motor de acionamento da correia da lança.,jonathan/ sr205 troca do motor de acionamento da correia da lanca.,,Manutenção/Inspeção/Teste de Máquina
jonathan/ ST0802 troca do desvio maquina.,jonathan/ st0802 troca do desvio maquina.,,Manutenção/Inspeção/Teste de Máquina
Robson/ troca das malhas SK2.,robson/ troca das malhas sk2.,,Manutenção/Inspeção/Teste de Máquina
Main/ troca do redutor C.5619 A.,main/ troca do redutor c.5619 a.,,Manutenção/Inspeção/Teste de Máquina
robson/ troca do acionamento CK6.,robson/ troca do acionamento ck6.,,Manutenção/Inspeção/Teste de Máquina
Renato/ trocar tubulação de agua desairada  proximo area 17.,renato/ trocar tubulacao de agua desairada  proximo area 17.,,Manutenção/Inspeção/Teste de Máquina
Jonathan/ troca do truck da R.E 1202,jonathan/ troca do truck da r.e 1202,,Manutenção/Inspeção/Teste de Máquina
Robson\ troca dos tambores CK1 cauda/ contato angular.,robson\ troca dos tambores ck1 cauda/ contato angular.,,Manutenção/Inspeção/Teste de Máquina
robson\ troca do Redutor ck6,robson\ troca do redutor ck6,,Manutenção/Inspeção/Teste de Máquina
C.5615 levantar contra peso/apoio para troca da correia.,c.5615 levantar contra peso/apoio para troca da correia.,,Manutenção/Inspeção/Teste de Máquina
RE 1202 troca do redutor de translação,re 1202 troca do redutor de translacao,,Manutenção/Inspeção/Teste de Máquina
CR2 troca do rotor,cr2 troca do rotor,,Manutenção/Inspeção/Teste de Máquina
Cr3 solda nas trincas,cr3 solda nas trincas,,Manutenção/Inspeção/Teste de Máquina
Colapso da viga principal da RE1201,colapso da viga principal da re1201,,Parada de Máquina
Avaliação na viga principal da RE1201,avaliacao na viga principal da re1201,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento da perfomace da ST1201 e rasgo da BC-211.,acompanhamento da perfomace da st1201 e rasgo da bc-211.,,Manutenção/Inspeção/Teste de Máquina
Acompnhamento tecnico na RE1201,acompnhamento tecnico na re1201,,Manutenção/Inspeção/Teste de Máquina
Atendimento na BC-211.,atendimento na bc-211.,,Não Classificado
Parda forno 2,parda forno 2,,Parada de Máquina
TRAC-2,trac-2,,Não Classificado
Alinhamento do acionamneto correia CK-5 bis.,alinhamento do acionamneto correia ck-5 bis.,,Manutenção/Inspeção/Teste de Máquina
Troca do redututor da correia CK-5 bis - Montagem do redutor não bateu na base,troca do redututor da correia ck-5 bis - montagem do redutor nao bateu na base,,Manutenção/Inspeção/Teste de Máquina
Apoio na correia BC-332A e atendimento da identificação e planejamento para troca do excitador SK-1.,apoio na correia bc-332a e atendimento da identificacao e planejamento para troca do excitador sk-1.,,Manutenção/Inspeção/Teste de Máquina
"Acompanhar a rota do PCI, Preparação e envio de carvão para sol coqueria.","acompanhar a rota do pci, preparacao e envio de carvao para sol coqueria.",,Manutenção/Inspeção/Teste de Máquina
Atuação na Guia da correia CK-202.,atuacao na guia da correia ck-202.,,Manutenção/Inspeção/Teste de Máquina
Blackout na coqueria,blackout na coqueria,,Parada de Máquina
Troca do redutor da correia CK-6.,troca do redutor da correia ck-6.,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor de desvo da correia C-5604 - Prontidão,troca do tambor de desvo da correia c-5604 - prontidao,,Manutenção/Inspeção/Teste de Máquina
Troca do redutor da correia CK-6 e rasgo correia C-5615,troca do redutor da correia ck-6 e rasgo correia c-5615,,Manutenção/Inspeção/Teste de Máquina
Apoio ao turno mecânico.,apoio ao turno mecanico.,,Manutenção/Inspeção/Teste de Máquina
cobindo colega afastado motivo de saúde.,cobindo colega afastado motivo de saude.,,Substituição de Colaborador
Apoio a equipe do turno da letra C para atividade da troca do disco da GRV do AF#3.,apoio a equipe do turno da letra c para atividade da troca do disco da grv do af#3.,,Manutenção/Inspeção/Teste de Máquina
AF2 parado devido quebra do canhão 01,af2 parado devido quebra do canhao 01,,Parada de Máquina
Apoio AF#2 perfurador e canhão.,apoio af#2 perfurador e canhao.,,Manutenção/Inspeção/Teste de Máquina
"APOIO A OPERAÇÃO PARA POSSÍVEIS OCORRÊNCIAS DE CRIVO ALTO AS MOAGENS 1,2 E 3 DO PCI ...NOVO CARVÃO","apoio a operacao para possiveis ocorrencias de crivo alto as moagens 1,2 e 3 do pci ...novo carvao",,Parada de Máquina
atendimento no perfurador da casa de corrida do AF1,atendimento no perfurador da casa de corrida do af1,,Manutenção/Inspeção/Teste de Máquina
NR33 espaço confinado,nr33 espaco confinado,,Manutenção/Inspeção/Teste de Máquina
cobrindo colega por afastamento médico.,cobrindo colega por afastamento medico.,,Substituição de Colaborador
auxiliar o atc no forno 2 e 3,auxiliar o atc no forno 2 e 3,,Manutenção/Inspeção/Teste de Máquina
APOIO A EQUIPE DO TURNO DEVIDO A INSTABILIDADE DO AF#1.,apoio a equipe do turno devido a instabilidade do af#1.,,Parada de Máquina
Suporte as atividades programadas da casa de corrida devido ausência da equipe que estava no AF2,suporte as atividades programadas da casa de corrida devido ausencia da equipe que estava no af2,,Substituição de Colaborador
Retirada do eletro imã conjunto 3 do CC6.,retirada do eletro ima conjunto 3 do cc6.,,Manutenção/Inspeção/Teste de Máquina
atendimento a boca de carga da 201 e 101,atendimento a boca de carga da 201 e 101,,Parada de Máquina
atuação no barramento da ponte 02,atuacao no barramento da ponte 02,,Manutenção/Inspeção/Teste de Máquina
montar e alinhar bomba P 401.,montar e alinhar bomba p 401.,,Manutenção/Inspeção/Teste de Máquina
troca do motor da bomba P401,troca do motor da bomba p401,,Manutenção/Inspeção/Teste de Máquina
desobstruir descarga da unidade 401,desobstruir descarga da unidade 401,,Manutenção/Inspeção/Teste de Máquina
manobra da HV7 unidade 101,manobra da hv7 unidade 101,,Manutenção/Inspeção/Teste de Máquina
reparo no carro da boca de carga unidade 201.,reparo no carro da boca de carga unidade 201.,,Manutenção/Inspeção/Teste de Máquina
manobra de locomotiva,manobra de locomotiva,,Não Classificado
ALINAMENTO DO MF 501,alinamento do mf 501,,Manutenção/Inspeção/Teste de Máquina
alinhamento e balanciamento do MF501.,alinhamento e balanciamento do mf501.,,Manutenção/Inspeção/Teste de Máquina
montar bomba P102 e alinhar conjunto,montar bomba p102 e alinhar conjunto,,Manutenção/Inspeção/Teste de Máquina
restabelecer unidade 101 e inspecionar furos na descarga.,restabelecer unidade 101 e inspecionar furos na descarga.,,Manutenção/Inspeção/Teste de Máquina
fazer manobra da HV7,fazer manobra da hv7,,Manutenção/Inspeção/Teste de Máquina
reparo no carro da boca de carga unidade 101.e manobra da valvula HV7,reparo no carro da boca de carga unidade 101.e manobra da valvula hv7,,Manutenção/Inspeção/Teste de Máquina
acompanhar retorno da caldeira unidade 401,acompanhar retorno da caldeira unidade 401,,Manutenção/Inspeção/Teste de Máquina
realizar manobra da HV 7,realizar manobra da hv 7,,Manutenção/Inspeção/Teste de Máquina
acompanhar ocorrencia da caçamba 3,acompanhar ocorrencia da cacamba 3,,Parada de Máquina
manobra da valvula HV7,manobra da valvula hv7,,Manutenção/Inspeção/Teste de Máquina
acompanhar retorno da unidade 401,acompanhar retorno da unidade 401,,Manutenção/Inspeção/Teste de Máquina
tracar bomba P002.,tracar bomba p002.,,Manutenção/Inspeção/Teste de Máquina
normalizar bombas MBC05 e MBC06,normalizar bombas mbc05 e mbc06,,Manutenção/Inspeção/Teste de Máquina
troca da sapata de freio da locomotiva 02,troca da sapata de freio da locomotiva 02,,Manutenção/Inspeção/Teste de Máquina
normalizar translação da ponte 1,normalizar translacao da ponte 1,,Manutenção/Inspeção/Teste de Máquina
pegar parametos de desnivelamento da viga pescadora ponte 01,pegar parametos de desnivelamento da viga pescadora ponte 01,,Manutenção/Inspeção/Teste de Máquina
acompanhar manobra de locomotiva,acompanhar manobra de locomotiva,,Manutenção/Inspeção/Teste de Máquina
acompanhar balanciamento do  MF 101,acompanhar balanciamento do  mf 101,,Manutenção/Inspeção/Teste de Máquina
normalizar MF101 para apagar coque,normalizar mf101 para apagar coque,,Parada de Máquina
preparação para reparar tubulação de N2,preparacao para reparar tubulacao de n2,,Manutenção/Inspeção/Teste de Máquina
troca da ponba P301,troca da ponba p301,,Manutenção/Inspeção/Teste de Máquina
descer driver da ponte 02 e solda na pista da transferencia 02,descer driver da ponte 02 e solda na pista da transferencia 02,,Manutenção/Inspeção/Teste de Máquina
normalizar descarga da unidade 501,normalizar descarga da unidade 501,,Manutenção/Inspeção/Teste de Máquina
normalizar vagao de extinção a umido,normalizar vagao de extincao a umido,,Manutenção/Inspeção/Teste de Máquina
acompanhar reparo no trilho da loc,acompanhar reparo no trilho da loc,,Manutenção/Inspeção/Teste de Máquina
normalizar valvula HV8 unidade 101,normalizar valvula hv8 unidade 101,,Manutenção/Inspeção/Teste de Máquina
acompanhar limpeza na descarga da unidade 301,acompanhar limpeza na descarga da unidade 301,,Manutenção/Inspeção/Teste de Máquina
inspecionar furo na caldeira da unidade 201,inspecionar furo na caldeira da unidade 201,,Manutenção/Inspeção/Teste de Máquina
acompanhar atividade no furo da caldeira da unidade 201,acompanhar atividade no furo da caldeira da unidade 201,,Manutenção/Inspeção/Teste de Máquina
inspecionar furo na descarga da unidade 101,inspecionar furo na descarga da unidade 101,,Manutenção/Inspeção/Teste de Máquina
atendimento na valvula do chuveirinho cwq e elevador de caneca 01,atendimento na valvula do chuveirinho cwq e elevador de caneca 01,,Manutenção/Inspeção/Teste de Máquina
inspecionar furos na caldeira da unidade 101,inspecionar furos na caldeira da unidade 101,,Manutenção/Inspeção/Teste de Máquina
tamponar furo na descarga da unidade301,tamponar furo na descarga da unidade301,,Manutenção/Inspeção/Teste de Máquina
troca do redutor da dv101 e completar nivel de óleo da locomotiva 01,troca do redutor da dv101 e completar nivel de oleo da locomotiva 01,,Manutenção/Inspeção/Teste de Máquina
reparo na boca de carga da unidade 401,reparo na boca de carga da unidade 401,,Manutenção/Inspeção/Teste de Máquina
normalizar falha no conjunto do içamento 2 ponte CR01.,normalizar falha no conjunto do icamento 2 ponte cr01.,,Parada de Máquina
manobra de caçamba,manobra de cacamba,,Não Classificado
atendimentoa NR 13 da unidade 101,atendimentoa nr 13 da unidade 101,,Não Classificado
Atividades de limpadores guia 1 e guia 2.,atividades de limpadores guia 1 e guia 2.,,Manutenção/Inspeção/Teste de Máquina
"Prontidão de supervisor guia de coque 3, ponte 2 e CC4","prontidao de supervisor guia de coque 3, ponte 2 e cc4",,Manutenção/Inspeção/Teste de Máquina
"Prontidão de supervisor ICCT ocorrencias de maquinas moveis Guia 3,MD2 e MD3","prontidao de supervisor icct ocorrencias de maquinas moveis guia 3,md2 e md3",,Manutenção/Inspeção/Teste de Máquina
Atendimento prontidão supervisor  barramentos dos CCs e ponte 2,atendimento prontidao supervisor  barramentos dos ccs e ponte 2,,Manutenção/Inspeção/Teste de Máquina
Boca de carga da 101 supervisão,boca de carga da 101 supervisao,,Manutenção/Inspeção/Teste de Máquina
Atividade na unidade 101 supervisão,atividade na unidade 101 supervisao,,Não Classificado
Liberação da unidade 101,liberacao da unidade 101,,Não Classificado
Acompanhamento de atividades no boca de carfa da 201,acompanhamento de atividades no boca de carfa da 201,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento de atividade nos barramentos das locomotivas,acompanhamento de atividade nos barramentos das locomotivas,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento a atividades na troca do frame do cilindro C4 reversão bateria 4.,acompanhamento a atividades na troca do frame do cilindro c4 reversao bateria 4.,,Manutenção/Inspeção/Teste de Máquina
Supervisionar etividade de limpadores,supervisionar etividade de limpadores,,Não Classificado
Prontidão presencial tecnico,prontidao presencial tecnico,,Não Classificado
Organização da sala de materiais,organizacao da sala de materiais,,Outros Eventos Externos
Arrumação da sala de materias e patio ICCT,arrumacao da sala de materias e patio icct,,Outros Eventos Externos
Prontidão de supervisor ICCT ( MD2),prontidao de supervisor icct ( md2),,Não Classificado
Atendimento a ocorrencias de prontidão.(CC5),atendimento a ocorrencias de prontidao.(cc5),,Não Classificado
Acompanhamento a atividade do silo de rejeito da MD3,acompanhamento a atividade do silo de rejeito da md3,,Manutenção/Inspeção/Teste de Máquina
Atividades de planejamento eletrico.,atividades de planejamento eletrico.,,Não Classificado
Reprogramação de atividades,reprogramacao de atividades,,Não Classificado
Atividades prontidão supervisão,atividades prontidao supervisao,,Não Classificado
Atividades de barramento dos guias torre 2.,atividades de barramento dos guias torre 2.,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento da atividades de iluminação da bateria 1 descomissionamento.,acompanhamento da atividades de iluminacao da bateria 1 descomissionamento.,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento de atividades do descomicionamento bateria 1( ilumunação).,acompanhamento de atividades do descomicionamento bateria 1( ilumunacao).,,Manutenção/Inspeção/Teste de Máquina
Atividades eletricas na locomotiva 2.,atividades eletricas na locomotiva 2.,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento a manobra de locomotivas,acompanhamento a manobra de locomotivas,,Manutenção/Inspeção/Teste de Máquina
Atividades locomotiva 2,atividades locomotiva 2,,Não Classificado
Locomotiva 2 reparo eletrico.,locomotiva 2 reparo eletrico.,,Manutenção/Inspeção/Teste de Máquina
Atividades de planejamento e organização de sobressalentes eletricos.,atividades de planejamento e organizacao de sobressalentes eletricos.,,Não Classificado
Prontidão supervisão ( acompanhamento de atividades).,prontidao supervisao ( acompanhamento de atividades).,,Não Classificado
Atividades de movimentação de massas padrão de balança e pendencias na LOC2.,atividades de movimentacao de massas padrao de balanca e pendencias na loc2.,,Não Classificado
Atividades de instalação de tranca biometrica,atividades de instalacao de tranca biometrica,,Manutenção/Inspeção/Teste de Máquina
Atividades na MD1 ( nobreak),atividades na md1 ( nobreak),,Manutenção/Inspeção/Teste de Máquina
